Maps,Name,Rating,Type,Description,Price per Night,Amenities 1,Amenities 2,Amenities 3,Amenities 4,Latitude,Longitude
https://www.google.com/maps/place/Best+Western+Senayan/data=!4m10!3m9!1s0x2e69f148a19c501d:0xf8df1390afdea625!5m2!4m1!1i2!8m2!3d-6.228065!4d106.798835!16s%2Fg%2F11r8cn2wl!19sChIJHVCcoUjxaS4RJaber5AT3_g?authuser=0&hl=en&rclk=1,Best Western Senayan,4.5,3-star hotel,Casual hotel with dining & free Wi-Fi,2811,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned,-6.228065,106.798835
https://www.google.com/maps/place/Mercure+Jakarta+Gatot+Subroto/data=!4m10!3m9!1s0x2e69f3c2da982b1b:0xae2c6b053bbf55c2!5m2!4m1!1i2!8m2!3d-6.239528!4d106.83042!16s%2Fg%2F11fjz2dbln!19sChIJGyuY2sLzaS4RwlW_OwVrLK4?authuser=0&hl=en&rclk=1,Mercure Jakarta Gatot Subroto,4.6,4-star hotel,Upmarket hotel with dining & a spa,4535,Pool,Free parking,Free Wi-Fi,Air-conditioned,-6.239528,106.83042
https://www.google.com/maps/place/Ashley+Wahid+Hasyim+Jakarta/data=!4m10!3m9!1s0x2e69f4257156f529:0xec28882d80d32e48!5m2!4m1!1i2!8m2!3d-6.187497!4d106.827085!16s%2Fg%2F11c2j36wlp!19sChIJKfVWcSX0aS4RSC7TgC2IKOw?authuser=0&hl=en&rclk=1,Ashley Wahid Hasyim Jakarta,4.5,4-star hotel,Chic lodging with a modern restaurant,3918,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned,-6.187497,106.827085
https://www.google.com/maps/place/HARRIS+Vertu+Hotel+Harmoni+Jakarta/data=!4m10!3m9!1s0x2e69f5d852f8965b:0xa2c3e2a867b3fc51!5m2!4m1!1i2!8m2!3d-6.1642866!4d106.8206514!16s%2Fg%2F11c2k3g958!19sChIJW5b4Utj1aS4RUfyzZ6jiw6I?authuser=0&hl=en&rclk=1,HARRIS Vertu Hotel Harmoni Jakarta,4.6,4-star hotel,Cosmopolitan lodging with a spa,4007,Pool,Spa,Free parking,Free Wi-Fi,-6.1642866,106.8206514
https://www.google.com/maps/place/Hotel+Rivoli+Jakarta/data=!4m10!3m9!1s0x2e69f448f8002a4b:0xb5e22a52e5e74180!5m2!4m1!1i2!8m2!3d-6.1839426!4d106.8442871!16s%2Fg%2F11c30s1vh_!19sChIJSyoA-Ej0aS4RgEHn5VIq4rU?authuser=0&hl=en&rclk=1,Hotel Rivoli Jakarta,4.2,3-star hotel,Straightforward hotel with dining,1785,Spa,Free parking,Free breakfast,Free Wi-Fi,-6.1839426,106.8442871
https://www.google.com/maps/place/Hotel+Borobudur+Jakarta/data=!4m10!3m9!1s0x2e69f5cc097e35db:0x7302b729335a095b!5m2!4m1!1i2!8m2!3d-6.1721573!4d106.8358278!16s%2Fg%2F121g1wcx!19sChIJ2zV-Ccz1aS4RWwlaMym3AnM?authuser=0&hl=en&rclk=1,Hotel Borobudur Jakarta,4.6,5-star hotel,Luxe hotel with 8 tennis courts & a pool,6594,Pool,Spa,Free parking,Free breakfast,-6.1721573,106.8358278
https://www.google.com/maps/place/DoubleTree+by+Hilton+Hotel+Jakarta+-+Diponegoro/data=!4m10!3m9!1s0x2e69f46ad4ba231d:0x2dbd0001fc1c5d26!5m2!4m1!1i2!8m2!3d-6.1991107!4d106.8430729!16s%2Fg%2F1ptzf2fp4!19sChIJHSO61Gr0aS4RJl0c_AEAvS0?authuser=0&hl=en&rclk=1,DoubleTree by Hilton Hotel Jakarta - Diponegoro,4.6,5-star hotel,Upscale lodging with a spa & a pool,7253,Pool,Spa,Free parking,Air-conditioned,-6.1991107,106.8430729
https://www.google.com/maps/place/Whiz+Hotel+Cikini+Jakarta/data=!4m10!3m9!1s0x2e69f43998550319:0xa93e41fcc02d05b3!5m2!4m1!1i2!8m2!3d-6.1883333!4d106.8366667!16s%2Fg%2F11bbyfd9x9!19sChIJGQNVmDn0aS4RswUtwPxBPqk?authuser=0&hl=en&rclk=1,Whiz Hotel Cikini Jakarta,4.1,2-star hotel,Chic hotel offering free Wi-Fi,1674,Free parking,Free Wi-Fi,Air-conditioned,Breakfast,-6.1883333,106.8366667
https://www.google.com/maps/place/AONE+Hotel+Jakarta/data=!4m10!3m9!1s0x2e69f42565fda0a9:0x9bf13123808ffd09!5m2!4m1!1i2!8m2!3d-6.186832!4d106.8280343!16s%2Fg%2F11cnc0tnd5!19sChIJqaD9ZSX0aS4RCf2PgCMx8Zs?authuser=0&hl=en&rclk=1,AONE Hotel Jakarta,4.3,4-star hotel,Upscale lodging with dining & a pool,3646,Pool,Free parking,Free Wi-Fi,Breakfast,-6.186832,106.8280343
https://www.google.com/maps/place/Dreamtel+Hotel+Jakarta/data=!4m10!3m9!1s0x2e69f43ab89c21e5:0x4f43e37ad75aa08e!5m2!4m1!1i2!8m2!3d-6.1876452!4d106.8307077!16s%2Fg%2F1q6b0x4hv!19sChIJ5SGcuDr0aS4RjqBa13rjQ08?authuser=0&hl=en&rclk=1,Dreamtel Hotel Jakarta,4.1,3-star hotel,Relaxed hotel with breakfast,2014,Free breakfast,Free Wi-Fi,Air-conditioned,Breakfast,-6.1876452,106.8307077
