Place_Id,Place_Name,Description,Categories,City,Price(RPH),Ratings,Time_Minutes,Coordinate,lat,Long
1,National Monument,"The National Monument or popularly abbreviated as Monas or Tugu Monas is a 132 meter (433 ft) memorial monument erected to commemorate the resistance and struggle of the Indonesian people to win independence from the Dutch East Indies colonial government. The construction of this monument began on August 17, 1961 under the order of President Soekarno and opened to the public on July 12, 1975. This monument is crowned with a flame covered with gold leaf which symbolizes the burning spirit of struggle. The National Monument is located right in the middle of Medan Merdeka Square, Central Jakarta.",Culture,Jakarta,20000,4.6,15,"{'lat': -6.1753924, 'lng': 106.8271528}",-6.1753924,106.8271528
2,Old town,"The old town in Jakarta, which is also called Kota Tua, is centered on Alun-Alun Fatahillah, a bustling square with regular traditional dance performances. The Jakarta History Museum is a Dutch-era building with paintings and antiques, while the Wayang Museum exhibits Javanese wooden puppets. Glodok Village, or Chinatown, is famous for its street food, such as dumplings and fried noodles. Nearby are schooners and fishing vessels in the ancient Sunda Kelapa harbour",Culture,Jakarta,0,4.6,90,"{'lat': -6.137644799999999, 'lng': 106.8171245}",-6.1376448,106.8171245
3,Fantasy world,"Dunia Fantasi or also called Dufan is an entertainment place located in the Ancol Dreamland area, North Jakarta, Indonesia. Dufan was inaugurated and opened on August 29, 1985.",Amusement park,Jakarta,270000,4.6,360,"{'lat': -6.125312399999999, 'lng': 106.8335377}",-6.1253124,106.8335377
4,Beautiful Indonesia in Miniature Park (TMII),"Taman Mini Indonesia Indah is a tourist park with the theme of Indonesian culture in East Jakarta. An area of approximately 150 hectares or 1.5 square kilometers is located at coordinates 6?¯18É?˝6.8É??S,106?¯53É?˝47.2É??E",Amusement park,Jakarta,10000,4.5,,"{'lat': -6.30245899999999, 'lng': 106.8951559}",-6.3024459,106.8951559
5,Atlantis Water Adventure,"Atlantis Water Adventure, also known as Atlantis Ancol, will present you with an unforgettable water tourism adventure. This 5 hectare themed tourist attraction with water games gives a sensation of adventure in 8 main pools. Namely the Antila pool, Atlas Plaza, Poseidon, Aquarius, Octopus, Kiddy Pool, and Atlantean. Located in the Ancol Jakarta Baycity area, Atlantis can be the right choice of destination for swimming tours.",Amusement park,Jakarta,94000,4.5,60,"{'lat': -6.12419, 'lng': 106.839134}",-6.12419,106.839134
6,Jaya Ancol Dreamland,Taman Impian Jaya Ancol is a tourist attraction in North Jakarta.\n\n,Amusement park,Jakarta,25000,4.5,10,"{'lat': -6.117333200000001, 'lng': 106.8579951}",-6.1173332,106.8579951
7,Ragunan Zoo,"Ragunan Zoo is a zoo located in the Ragunan area, Pasar Minggu, South Jakarta, Indonesia. This 140 hectare zoo was founded in 1864. Inside there are various collections consisting of 295 species and 4040 specimens. reopened on October 11, 2005. This zoo has many rare animal species including cockatoos, orangutans, gorillas, anoa and elephants",Nature preserve,Jakarta,4000,4.5,,"{'lat': -6.3124593, 'lng': 106.8201865}",-6.3124593,106.8201865
8,Ocean Ecopark,"Ocean Ecopark One of the Ancol recreation zones that offers green open spaces and experiences and does not forget the educational side for visitors. A variety of fun activities and rides that can be played in a family recreation area, some of which are: Outbondholic, Energy House, Bee House, Canoeing, Paintball, Outbondholic, Eco-Market, Learning Farm, Eco-Bike, Faunaland. If you plan to travel to Ocean Eco Park Ancol, you don't need to worry about the price of the entrance ticket. Because the Ocean Eco Park entrance ticket price is offered at an affordable price.",Amusement park,Jakarta,180000,4,,"{'lat': -6.125801699999999, 'lng': 106.8363249}",-6.1258017,106.8363249
9,Harbor Marina,"Marina Ancol Harbor is located in the Ancol Dreamland area, Jakarta. The port, which is commonly called Marina Ancol Pier, is an area that is not only for crossing purposes, but is also being developed for many things, such as water tourism, water sports and playgrounds. The main function of this port is to serve passengers who wish to cross to the Seribu Islands, and vice versa. Many people who live in Jakarta and its surroundings make the Seribu Islands their main tourist destination. Holidays on Pulau Seribu are indeed able to eliminate the fatigue of working in a metropolitan city, while enjoying the beauty of the beaches which are still well maintained. Marina Ancol is located in North Jakarta or in full has its address at Kota Tua, Ancol, Pademangan, City of Jakarta. It's easy to get to this place because it's not too far from the city center. Apart from that, there are many public transportations that go to this place or you can also use online transportation services.",Islands,Jakarta,175000,4.4,,"{'lat': 1.07888, 'lng': 103.931398}",1.07888,103.931398
10,Tidung Island,"Tidung Island is one of the sub-districts in the South Thousand Islands sub-district, Thousand Islands Regency, Jakarta, Indonesia.",Islands,Jakarta,150000,4.5,,"{'lat': -5.803205300000001, 'lng': 106.5237907}",-5.8032053,106.5237907
